reclon,reclat
-123.227,33.594
-120.765,34.173
-120.309,34.11
-119.946,34.135
-119.987,33.961
-120.04,34.158
-120.223,34.026
-122.779,37.744
-123.434,37.486
-123.663,37.444
-126.319,37.779
-126.949,36.866
-123.056,37.669
-123.424,36.063
-122.387,38.091
-122.148,37.766
-122.407,38.12
-123.288,37.554
-122.581,37.44
-123.611,37.693
-122.977,37.88
-123.162,37.76
-123.344,37.761
-122.948,37.706
-123.141,37.772
-123.301,37.967
-123.158,38.396
-121.669,39.033
-122.378,36.798
-122.807,37.584
-123.121,37.629
-120.458,34.237
-120.582,34.424
-121.303,34.44
-119.969,34.093
-119.334,34.656
-120.168,34.134
-120.614,34.072
-120.761,34.059
-120.671,34.075
-120.419,34.438
-121.024,33.91
-120.668,34.196
-120.801,34.138
-120.472,33.725
-120.392,33.694
-120.815,33.851
-120.646,33.834
-120.955,33.914
-120.574,33.978
-120.491,33.8
-120.751,33.694
-118.223,33.109
-120.482,34.114
-120.392,33.856
-120.343,33.438
-120.38,33.385
-120.802,33.225
-120.471,33.486
-120.291,33.472
-120.343,33.333
-120.059,33.339
-120.012,33.316
-119.578,32.986
-119.679,32.96
-119.443,32.955
-119.571,32.845
-119.571,32.858
-119.249,32.454
-118.92,32.506
-118.491,32.464
-118.893,32.446
-119.271,32.026
-118.482,32.241
-118.01,31.597
-117.392,31.253
-117.377,31.156
-117.342,31.141
-117.482,31.073
-116.948,30.776
-116.179,31.078
-116.78,30.705
-116.437,30.427
-116.488,30.292
-116.308,30.204
-116.4,30.147
-116.016,29.994
-115.706,29.464
-115.829,29.391
-115.659,29.426
-115.658,29.266
-115.65,29.202
-115.29,28.79
-114.831,28.286
-115.133,28.753
-115.068,28.481
-114.689,28.284
-114.948,28.283
-116.821,27.601
-114.86,28.126
-114.969,28.151
-115.137,28.03
-115.962,28.149
-115.818,27.299
-114.49,27.762
-114.733,28.005
-114.875,27.873
-114.771,27.967
-114.843,27.968
-114.725,28.049
-114.665,28.117
-114.701,28.278
-114.755,28.296
-115.194,28.653
-115.3,28.629
-114.959,28.388
-114.168,28.174
-114.896,28.261
-115.03,28.135
-114.934,28.143
-114.492,27.895
-114.904,27.943
-114.821,28.201
-115.816,28.491
-115.246,28.541
-120.378,34.786
-120.171,34.191
-120.038,34.112
-120.085,34.102
-120.073,34.091
-119.945,34.119
-119.902,34.037
-120.193,34.013
-119.867,34.083
-120.055,34.133
-120.025,34.126
-120.073,34.067
-120.043,34.062
-120.066,34.116
-120.321,34.111
-120.233,33.986
-120.328,33.737
-120.286,34.182
-120.348,34.153
-120.508,33.986
-120.451,34.048
-119.773,34.11
-120.23,34.128
-120.25,34.113
-120.298,34.107
-120.362,34.119
-120.459,34.149
-120.995,34.194
-121.098,34.275
