reclon,reclat
-120.305,34.102
-119.675,33.99
-120.424,33.862
-120.652,34.254
-119.829,34.125
-119.807,34.107
-119.939,34.105
-119.835,34.121
-119.816,34.123
-119.72,34.081
-120.041,34.307
-118.725,34.027
-119.848,34.45
-120.252,34.223
-119.945,34.123
-119.878,34.146
-119.959,34.474
-122.992,33.455
-119.921,34.171
-119.835,34.252
-120.081,33.965
-117.318,31.44
-119.753,34.34
-121.206,34.388
-119.912,34.12
-120.042,34.1
-120.093,34.132
-120.074,34.103
-119.95,34.155
-119.788,34.2
-120.121,34.165
-120.655,34.175
-120.813,34.348
-121.24,34.287
-122.34,33.734
-122.407,33.714
-122.385,33.603
-122.434,33.47
-125.272,33.838
-125.582,34.522
-125.483,34.594
-126.021,34.976
-124.441,34.31
-121.96,34.015
-124.294,33.927
-123.738,33.792
-124.002,33.704
-123.346,33.788
-123.223,33.477
-124.007,33.561
-124.115,33.652
-124.135,33.629
-123.686,33.572
-124.383,33.756
-124.006,33.449
-123.898,33.383
-123.73,33.286
-123.624,33.167
-121.17,34.507
-120.006,34.125
-119.316,34.405
-120.001,34.145
-119.96,34.196
-111.771,33.406
-119.986,34.166
-119.904,34.043
-119.684,33.999
-120.43,33.932
-119.46,34.16
-119.414,34.214
-118.926,34.079
-119.62,34.089
-119.345,34.115
-119.636,33.944
-120.281,34.171
-120.014,34.181
-111.759,33.377
-111.855,33.39
-119.985,34.184
-120.063,34.168
-120.048,34.269
-120.16,34.091
-119.996,34.299
-119.892,34.134
-119.788,34.078
-119.639,34.099
-119.922,34.121
-120,34.075
-120.118,34.105
-119.978,34.207
-119.883,34.296
-120.088,34.349
-119.914,34.089
-119.76,34.123
-119.773,34.084
-119.77,34.158
-119.996,34.369
-119.991,34.33
-119.593,34.032
-119.139,33.911
-119.718,34.11
-119.667,34.286
-119.777,34.104
-119.497,34.009
-119.869,34.309
-120.097,34.402
-119.039,34.025
-119.275,34.072
-121.044,34.458
-121.477,34.604
-120.86,34.801
-120.764,34.881
-120.915,35.042
-120.968,35.353
-121.264,35.265
-121.24,35.281
-121.127,35.301
-120.764,35.083
-120.971,35.061
-121.416,35.001
