reclon,reclat
-110.386,24.696
-110.503,24.597
-110.52,24.5
-110.405,24.849
-110.395,22.683
-111.856,23.032
-112.129,23.363
-112.7,23.93
-113.5,25.941
-112.883,25.706
-113.143,25.976
-114.977,27.507
-115.26,27.885
-115.507,28.197
-115.621,28.928
-114.76,28.144
-115.25,28.383
-115.668,28.346
-115.607,26.02
-114.498,25.48
-114.37,25.481
-114.558,25.741
-113.917,25.356
-113.522,24.954
-113.488,24.925
-113.559,25.174
-112.324,25.084
-112.048,24.301
-112.072,24.102
-111.635,23.539
-111.446,23.239
-110.871,23.388
-110.261,23.506
-110.338,23.424
-110.647,23.676
-110.775,23.526
-110.572,23.329
-110.423,23.409
-110.72,23.076
-110.838,23.258
-110.929,23.328
-112.202,23.851
-112.394,24.195
-113.451,25.666
-113.43,25.682
-113.628,25.834
-113.683,25.954
-113.592,25.999
-113.794,25.961
-113.967,26.739
-114.055,26.868
-114.063,26.866
-116.206,30.302
-116.593,30.929
-116.569,31.103
-116.602,31.128
-116.757,31.417
-116.795,31.542
-116.774,31.583
-116.64,31.689
-117.002,31.872
-116.961,31.982
-118.116,32.515
-117.926,33.041
-117.956,33.244
-118.281,32.578
-116.81,31.619
-116.533,31.031
-116.059,30.092
-115.953,30.034
-115.888,29.777
-115.64,30.091
-115.832,29.722
-116.722,28.576
-115.36,28.619
-115.381,28.508
-115.634,28.454
-115.321,28.592
-115.248,28.364
-115.305,28.212
-115.107,28.801
-116.032,30.354
-116.315,30.737
-116.752,31.686
-116.899,31.868
-116.893,31.952
-116.943,32.025
-117.047,32.095
-116.948,32.169
-116.976,32.185
-117.08,32.11
-117.278,32.093
-116.779,32.102
-117.252,32.243
-116.809,31.956
-116.89,31.613
-117.026,30.814
-117.383,31.377
-110.314,24.692
-110.314,24.668
-110.307,24.672
-110.758,24.512
-110.637,24.521
-110.769,24.649
-110.663,25.181
-110.814,25.47
-110.54,25.508
-110.308,25.546
-110.796,25.519
-110.771,25.564
-110.75,25.613
-110.909,25.858
-110.811,25.707
-110.887,25.627
-110.909,25.595
-111.051,25.661
-110.829,25.75
-110.913,25.814
-110.897,25.633
-111.008,25.785
-110.738,25.71
-110.859,25.821
-110.529,25.158
-110.233,24.735
-110.225,24.57
-109.839,24.438
-109.44,23.579
-109.846,22.474
-110.831,22.226
-110.15,22.526
-110.395,22.338
-110.456,22.213
-110.346,22.354
-110.583,22.348
-110.587,22.279
-110.419,22.249
-110.295,22.605
-110.349,22.276
-110.391,22.341
-109.639,22.477
-110.146,22.331
-109.785,22.662
-110.029,22.664
-110.136,22.723
-109.918,22.62
-109.883,22.608
-110.122,22.568
-109.794,22.565
-109.578,22.756
-109.981,23.025
-109.617,22.78
-109.55,22.849
-109.499,22.881
-109.131,22.893
-109.334,22.873
-108.934,23.173
-109.17,23.094
-109.526,22.865
-109.748,22.685
-109.549,22.745
-110.083,22.693
-110.374,22.73
-110.607,23.18
-111.481,23.656
-112.006,24.21
-111.849,24.554
-112.63,24.785
-112.836,25.008
-112.765,25.328
-113.032,25.604
-113.447,26.057
-113.572,26.053
-113.771,26.582
-114.708,27.453
-114.888,27.29
-115.044,27.649
-115.1,27.67
-115.737,28.454
-115.711,28.59
-115.683,28.607
-115.426,29.114
-114.762,29.083
-115.055,28.789
-115.418,29.002
-115.384,28.945
-116.354,29.388
-116.116,29.374
-115.633,29.586
-115.742,29.935
-116.381,30.251
-116.509,29.999
-115.868,29.801
-116.367,30.133
-117.257,30.402
-117.1,30.298
-117.934,28.623
-116.955,27.694
-115.68,27.326
-116.638,27.458
-114.649,27.322
-113.652,26.256
-113.445,25.985
-113.936,26.599
-113.779,26.615
-114.016,26.76
-113.812,26.676
-113.806,26.516
-113.307,26.665
-113.541,26.497
-113.833,26.496
-114.05,26.408
-113.628,26.52
-113.872,26.371
-113.633,26.865
-113.896,26.545
-113.405,26.27
-114.04,26.391
-113.658,26.265
-113.673,26.38
-113.712,26.44
-114.019,26.638
-113.982,26.244
-113.321,26.108
-114.214,25.912
-113.315,26.717
-113.751,26.609
-113.417,26.048
-113.768,26.417
-113.616,26.212
-113.694,26.297
-113.112,26.67
-113.849,26.258
-113.659,26.322
-113.362,26.194
-113.961,26.819
-113.876,26.451
-113.813,26.458
