reclon,reclat
-119.938,34.138
-120.048,34.175
-120.011,33.957
-120.117,34.106
-120.257,33.974
-120.161,34.108
-120.083,34.161
-120.071,34.171
-120.028,34.119
-120.274,34.184
-119.802,34.297
-119.971,34.324
-119.94,34.192
-119.925,34.183
-119.252,34.172
-120.165,34.084
-120.07,34.114
-119.697,34.159
-119.939,34.236
-119.961,34.232
-119.96,34.125
-120.082,34.11
-120.254,34.124
-120.464,34.191
-120.426,34.182
-119.824,34.254
-120.66,34.365
-120.446,34.21
-119.954,34.522
-120.369,34.208
-120.491,34.25
-120.575,34.231
-121.398,34.099
-120.567,34.206
-120.56,34.211
-120.566,34.211
-120.635,34.16
-120.648,34.013
-120.49,33.426
-120.491,33.429
-120.506,33.997
-120.602,34.056
-120.432,34.054
-120.687,33.974
-120.525,34.062
-120.268,33.939
-121.142,33.558
-119.797,34.372
-120.487,34.246
-120.546,34.19
-120.45,34.2
-120.462,34.208
-120.547,34.022
-120.508,34.208
-120.49,34.174
-120.471,34.163
-120.462,34.154
-120.579,34.034
-119.95,33.602
-120.329,33.931
-121.041,33.679
-121.846,33.513
-120.313,33.92
-120.035,33.795
-120.08,33.747
-120.041,33.686
-120.09,33.742
-119.967,33.724
-120.153,33.817
-119.651,33.148
-116.917,31.875
-116.806,31.596
-116.85,31.659
-116.884,31.647
-116.889,31.675
-117.306,31.472
-116.894,31.61
-116.801,31.615
-116.782,31.549
-116.896,31.525
-116.85,31.608
-116.745,31.643
-116.848,31.711
-116.76,31.7
-116.827,31.643
-116.735,31.656
-116.1,31.43
-116.811,31.783
-116.632,31.407
-116.517,30.974
-116.534,30.991
-116.552,30.916
-116.597,30.892
-116.388,30.865
-116.039,31.045
-116.462,30.854
-116.535,30.986
-116.515,31.003
-116.517,30.945
-116.441,30.962
-116.461,30.982
-116.469,31
-116.458,30.998
-116.429,31.1
-116.486,31.089
-114.484,31.668
-116.597,31.091
-116.58,31.121
-116.628,31.151
-118.83,31.408
-116.476,31.076
-116.366,30.217
-116.357,29.973
-115.823,28.426
-115.677,28.314
-115.691,28.284
-115.344,28.191
-115.586,28.019
-115.662,27.932
-115.575,27.933
-115.512,27.964
-115.656,28.021
-115.387,27.729
-115.294,27.732
-115.322,27.748
-115.257,27.697
-115.269,27.666
-115.295,27.7
-115.157,27.648
-115.408,27.893
-115.513,27.866
-115.235,27.947
-115.548,27.767
-115.241,27.753
-115.389,27.546
-115.573,27.868
-115.614,27.95
-115.596,27.959
-115.578,27.91
-115.368,27.702
-115.538,27.757
-115.837,27.625
-115.282,27.703
-115.26,27.705
-115.247,27.742
-115.496,27.837
-115.274,27.909
-115.527,27.92
-115.55,27.998
-115.626,27.936
-115.601,28.028
-115.512,27.986
-115.742,28.047
-115.68,28.013
-115.566,28.021
-115.611,28.226
-115.624,27.946
-115.476,27.899
-115.41,27.936
-115.421,27.934
-115.555,27.91
-115.232,27.699
-115.269,27.69
-114.921,27.703
-115.229,27.654
-115.375,27.848
-115.468,27.848
-115.212,27.87
-115.46,27.805
-115.357,27.747
-115.296,27.745
-115.26,27.686
-115.253,27.662
-115.2,27.641
-115.135,27.69
-115.023,27.512
-114.749,27.234
-114.615,27.27
-114.63,27.224
-114.724,27.272
-114.822,27.26
-114.717,27.286
-114.903,27.269
-114.383,27.049
-114.395,27.045
-114.344,27.011
-114.073,26.98
-114.543,27.042
-114.607,27.117
-114.635,26.815
-114.295,26.858
-114.385,26.959
-114.31,27.136
-114.212,27.048
-114.508,27.043
-114.517,27.008
-114.372,27.09
-114.819,27.276
-114.69,27.32
-114.811,27.353
-116.318,27.411
-114.834,26.427
-114.963,25.884
-114.788,25.725
-112.405,24.092
-110.956,22.953
-110.82,22.869
-109.051,22.727
-108.135,23.427
-120.05,34.125
-120.145,34.12
-123.524,35.88
-122.826,36.31
-111.339,37.266
-124.831,39.72
-124.811,38.295
-124.631,38.136
-124.709,38.102
-122.837,35.96
-122.21,35.149
-122.221,35.144
-120.819,34.086
-120.848,33.873
-120.943,33.849
-120.88,33.59
-120.814,33.593
-120.715,33.454
-120.727,33.412
-120.724,33.243
-120.901,33.381
-120.631,33.057
-120.142,31.662
-119.973,31.539
-120.532,31.535
-119.771,31.219
-119.746,31.199
-120.187,31.141
-119.821,30.471
-120.254,30.979
-121.152,31.609
-120.754,34.314
-120.496,34.225
-120.216,34.122
-122.357,33.912
-120.486,34.212
-120.548,34.194
-120.502,34.194
-120.564,34.176
-119.184,33.627
-120.627,34.168
-121.439,34.306
-120.656,34.146
-119.174,34.803
-119.822,34.664
-119.805,33.824
-120.352,34.178
-120.391,34.184
-120.401,34.172
-120.363,34.163
-120.36,34.167
-120.429,34.22
-120.42,34.006
-120.388,34.178
-120.368,34.196
-120.246,34.077
-119.905,34.322
-119.457,33.922
-119.444,34.009
-119.152,33.65
-118.739,33.372
-118.395,33.173
-118.449,33.096
-117.801,32.927
-117.632,32.91
-117.666,32.946
-117.601,32.951
-117.687,32.738
-117.853,32.07
-119.115,32.412
-119.247,32.46
-119.881,32.648
-120.197,32.734
-120.713,32.639
-120.634,32.391
-120.924,31.941
-120.711,31.908
-122.172,31.988
-122.09,31.986
-122.253,32.226
-122.356,31.891
-122.275,31.884
-122.345,31.886
-122.055,32.008
-121.968,32.059
-121.921,32.323
-121.722,32.23
-121.594,32.466
-121.539,32.52
-121.174,32.602
-120.767,32.698
-120.043,33.302
-120.152,33.747
-121.524,33.795
-120.796,33.692
-118.861,33.661
-120.187,33.826
-120.417,33.922
-120.701,33.89
-120.319,33.927
-116.256,35.083
-120.489,34.022
-120.241,33.889
-120.154,33.972
-120.586,33.92
-120.393,33.984
-120.249,33.95
-120.327,33.911
-120.354,33.906
-120.24,33.956
-116.734,30.793
-118.254,30.328
-116.499,31.077
-116.521,31.057
-116.481,31.094
-116.558,31.176
-116.391,30.64
-115.918,30.033
-115.951,30.141
-115.531,30.144
-116.222,30.257
-115.945,29.922
-115.973,29.377
-115.793,28.997
-115.378,29.225
-114.872,28.167
-114.826,27.121
-113.075,25.528
-114.569,27.239
-114.619,27.381
-114.88,27.515
-115.531,27.907
-115.516,27.912
-115.697,28.217
-115.484,28.467
-115.419,28.425
-115.173,28.624
-115.838,28.668
-115.219,28.461
-115.43,28.654
-115.61,28.603
-115.332,28.53
-115.302,28.961
-115.145,28.9
-116.777,29.154
-115.127,28.974
-115.355,29.103
-115.287,29.147
-120.778,34.066
-120.556,28.299
-120.114,34.116
-120.093,34.126
-120.281,34.133
-120.273,34.124
-120.101,34.152
-120.13,34.142
-120.258,34.151
-122.309,34.117
-123.017,34.304
-123.071,34.322
-124.296,34.64
-124.281,34.638
-124.354,34.753
-125.742,35.754
-125.873,35.918
-125.759,35.946
-126.022,36.136
-126.582,37.08
-127.427,37.637
-128.054,39.376
-128.592,39.407
-128.87,40.108
-129.033,41.067
-129.476,42.136
-131.185,42.454
-130.816,42.521
-131.09,42.707
-133.527,44.246
-133.659,44.336
-135.595,45.384
-135.692,45.322
-136.046,45.375
-139.5,46.464
-138.249,46.857
-138.053,46.848
-139.441,47.414
-139.451,47.432
-139.428,47.431
-145.045,45.838
-140.57,47.664
-140.642,47.429
-142.536,48.433
-142.433,48.408
-142.916,48.49
-142.952,48.648
-144.23,49.065
-144.048,48.818
-144.937,48.958
-146.012,48.863
-145.649,48.813
-147.287,48.686
-147.11,48.676
-147.06,48.722
-147.831,48.271
-147.388,48.73
-147.105,48.748
-146.979,48.681
-150.563,48.827
-146.863,48.958
-146.768,48.616
-146.418,48.971
-146.515,48.837
-146.429,48.899
-146.544,48.853
-146.488,48.813
-146.546,48.835
-146.429,48.887
-146.31,48.88
-146.274,48.853
-146.245,48.903
-146.187,48.906
-146.182,48.966
-146.218,49.036
-146.433,48.951
-146.365,48.967
-145.726,49.784
-146.384,49.06
-146.206,49.287
-147.019,50.003
-146.478,51.374
-146.754,51.561
-146.5,51.787
-147.017,51.615
-147.251,52.386
-147.499,52.437
-146.782,52.491
-146.726,52.53
-144.516,53.092
-144.882,53.1
-144.167,53.148
-144.692,52.993
-143.766,53.071
-141.527,53.118
-141.208,53.073
-140.895,52.881
-140.788,52.847
-140.47,52.726
-140.094,52.699
-140.417,52.684
-140.392,52.669
-140.593,52.797
-140.583,52.774
-140.626,52.884
-140.654,52.869
-140.774,52.865
-140.78,52.852
-139.682,52.89
-140.445,52.677
-140.382,52.644
-139.792,52.527
-139.904,52.549
-139.987,52.295
-139.164,51.8
-139.418,51.731
-139.289,51.71
-139.365,51.478
-139.102,50.742
-139.125,50.734
-138.691,50.753
-139.091,50.425
-138.803,50.652
-136.161,50.307
-136.052,50.199
-135.363,50.175
-135.254,49.991
-135.196,49.819
-135.17,49.833
-135.516,49.643
-135.157,49.732
-135.281,49.839
-134.04,48.243
-132.243,48.476
-133.734,47.893
-133.335,47.654
-133.878,47.262
-133.041,47.474
-133.079,47.446
-133.115,47.468
-133.161,47.472
-133.046,47.536
-133.082,47.528
-133.316,47.455
-132.99,47.554
-133.35,47.47
-133.297,47.557
-133.171,47.766
-133.176,47.598
-133.211,47.454
-131.151,48.326
-133.368,47.455
-133.443,47.405
-133.451,47.468
-133.334,47.326
-133.224,47.652
-132.772,47.499
-132.584,47.108
-132.578,47.273
-133.28,47.17
-132.641,47.082
-132.503,47.061
-132.66,47.092
-132.6,46.89
-132.407,46.784
-132.424,46.784
-132.547,46.691
-132.018,46.571
-131.646,46.522
-132.152,46.642
-131.472,46.872
-130.452,47.013
-130.407,47.118
-130.403,47.109
-130.55,47.277
-130.629,47.273
-130.592,47.275
-129.919,46.076
-129.815,45.903
-130.161,45.854
-129.294,40.506
-128.225,38.351
-128.132,38.316
