reclon,reclat
-107.48,24.699
-110.897,25.695
-107.637,26.408
-111.001,27.056
-110.234,25.319
-110.77,25.819
-110.815,25.748
-112.418,24.431
-113.238,26.3
-113.256,26.456
-113.31,26.473
-113.138,26.474
-115.383,25.575
-113.284,26.19
-113.149,26.388
-113.593,26.114
-112.643,24.688
-112.497,23.946
-111.223,23.342
-111.044,22.479
-109.747,20.973
-109.36,20.755
-109.298,20.67
-108.205,20.786
-106.542,19.278
-106.798,18.987
-108.066,21.531
-109.175,21.661
-107.957,20.851
-109.178,21.378
-109.281,20.941
-109.45,20.616
-109.733,20.382
-109.747,20.318
-109.743,20.493
-107.668,20.181
-109.24,20.941
-109.554,20.37
-109.64,20.571
-109.961,20.674
-109.657,20.366
-109.556,20.449
-109.374,20.708
-109.142,21.229
-109.829,21.236
-110.125,21.602
-110.629,22.064
-109.953,21.702
-110.28,22.458
-110.39,22.567
-113.83,25.536
-115.65,27.258
-115.127,27.702
-116.158,28.009
-115.205,27.825
-115.676,28.044
-115.47,28.079
-115.506,28.027
-115.981,28.872
-115.581,27.977
-114.498,27.947
-115.254,27.794
-115.454,27.595
-115.43,27.887
-115.345,27.794
-114.412,27.989
-115.28,27.698
-115.463,27.867
-115.501,27.777
-115.403,27.878
-115.337,27.94
-115.404,27.945
-115.111,27.691
-115.382,27.881
-115.341,27.798
-115.847,27.846
-115.433,27.762
-115.229,27.775
-115.193,27.754
-115.197,27.719
-115.246,27.795
-115.728,27.316
-115.348,27.708
-115.174,27.901
-115.997,28.126
-114.362,28.732
-115.163,28.124
-115.292,27.831
-115.434,27.825
-115.291,27.877
-115.353,27.837
-115.49,27.951
-116.328,28.095
-114.96,27.839
-114.253,27.503
-114.915,27.629
-114.569,27.539
-115.057,27.641
-115.347,27.779
-117.277,27.415
-115.57,27.692
-115.336,27.68
-115.011,28.233
-115.822,27.733
-115.083,28.335
-115.374,27.786
-115.233,27.657
-115.232,27.727
-115.419,27.797
-115.233,27.784
-115.318,27.778
-115.14,27.798
-114.551,28.159
-115.404,27.337
-115.294,28.576
-115.475,27.839
-115.132,27.627
-115.282,27.861
-117.613,27.064
-115.693,28.008
-115.41,27.467
-115.155,27.595
-114.991,27.618
-114.778,27.719
-114.831,27.552
-114.964,27.496
-115.096,27.642
-115.165,27.917
-115.103,27.616
-114.933,27.622
-114.966,27.592
-113.963,27.35
-115.129,27.583
-114.89,27.554
-115.007,27.443
-114.801,27.481
-114.859,27.454
-114.72,27.563
-114.879,27.372
-114.716,27.387
-115.071,27.496
-114.805,27.825
-115.205,27.396
-114.891,27.575
-114.656,27.6
-114.641,27.662
-115.544,27.616
-115.202,27.583
-115.3,27.661
-114.906,27.391
-115.149,27.822
-115.086,27.74
-115.175,27.632
-115.518,27.719
-115.135,27.726
-114.432,27.599
-115.218,27.455
-114.711,27.704
-114.861,27.725
-115.515,27.725
-114.942,27.472
-115.411,27.934
-115.867,28.014
-114.94,27.799
-115.094,27.688
-115.68,27.733
-114.992,27.656
-115.122,27.716
-115.315,27.531
-115.19,27.7
-115.546,27.746
-115.199,27.824
-115.236,27.744
-115.596,27.901
-115.491,27.908
-115.504,27.987
-115.793,27.857
-115.488,27.873
-116.391,27.35
-115.445,27.838
-114.779,28.135
-114.64,28.233
-115.397,27.717
-115.527,28.104
-115.604,28.093
-115.448,27.847
-115.713,28.013
-114.815,27.483
-115.443,27.762
-115.368,28
-115.482,28.027
-115.634,27.953
-115.584,27.912
-115.498,27.9
-114.658,27.663
-115.364,27.914
-115.444,27.842
-116.428,28.239
-115.517,28.067
-115.593,27.948
-115.536,27.931
-115.531,27.907
-115.451,28.014
-115.472,27.858
-115.582,27.94
-115.382,28.025
-115.263,27.905
-115.566,28.036
-115.658,28.01
-115.412,27.828
-115.651,28.071
-115.717,28.782
-115.71,29.539
-115.288,29.36
-112.659,28.022
-115.753,29.61
-115.805,29.5
-115.127,29.297
-115.549,29.435
-115.412,29.295
-115.351,29.328
-115.634,29.547
-115.489,29.422
-115.741,29.614
-115.815,29.715
-115.207,29.484
-115.817,29.599
-115.774,29.612
-115.731,29.572
-115.634,29.616
-115.769,29.565
-115.677,29.601
-115.734,29.594
-115.731,29.593
-115.755,29.643
-115.799,29.628
-115.462,29.511
-115.668,29.657
-115.838,29.664
-115.939,29.352
-115.735,29.564
-115.745,29.696
-116.366,29.96
-115.228,29.523
-115.641,29.529
-115.751,29.659
-115.891,29.401
-115.814,29.88
-115.972,29.907
-115.987,29.864
-115.871,29.861
-116.416,29.954
-116.363,29.71
-115.945,29.747
-115.919,29.865
-116.336,30.562
-116.456,31.051
-116.631,31.169
-116.561,31.421
-116.846,31.838
-116.933,32.031
-116.944,31.917
-116.882,31.913
-117.857,32.134
-117.164,31.575
-116.575,29.534
-116.445,28.715
