reclon,reclat
-120.626,34.065
-120.601,34.078
-120.593,34.096
-120.524,34.065
-120.718,34.013
-120.579,34.118
-120.2,34.08
-120.919,33.824
-120.788,34.289
-118.384,32.37
-120.806,34.194
-121.941,34.08
-120.815,34.323
-120.924,34.305
-120.198,34.254
-120.855,34.395
-120.991,34.379
-120.64,34.227
-120.617,34.883
-121.508,34.426
-120.375,34.343
-121.314,34.657
-121.094,34.575
-121.12,34.629
-121.148,34.605
-120.739,35.389
-122.594,34.612
-120.979,34.606
-120.704,34.486
-120.586,33.914
-120.753,33.898
-120.738,33.919
-120.75,34.008
-120.75,33.988
-122.133,33.62
-121.022,34.078
-121.151,34.075
-121.052,33.858
-120.952,33.686
-120.995,33.675
-120.987,33.761
-120.741,33.643
-120.932,33.803
-120.96,33.829
-120.861,33.784
-120.929,33.817
-120.864,33.808
-120.853,33.778
-120.88,33.779
-120.854,33.787
-120.803,33.834
-120.812,33.834
-121.917,34.167
-120.866,33.872
-120.688,34.035
-120.839,33.994
-120.683,34.071
-121.049,34.076
-121.264,34.343
-121.413,34.684
-121.357,34.682
-121.678,34.465
-121.734,34.392
-121.813,34.47
-121.724,34.403
-121.527,34.142
-121.407,34.122
-121.101,34.089
-120.716,33.973
-119.989,33.75
-119.922,33.98
-119.02,33.596
-119.524,33.734
-119.134,33.616
-118.975,33.626
-118.218,33.375
-118.7,33.639
-118.306,33.518
-118.317,33.512
-118.408,33.522
-118.37,33.558
-117.041,33.332
-117.961,33.227
-117.837,33.228
-117.156,32.898
-117.332,32.876
-117.803,32.729
-117.43,32.515
-117.346,32.097
-116.959,31.818
-116.613,31.329
-117.029,31.521
-117.414,31.423
-116.726,31.523
-116.628,31.197
-116.736,31.258
-116.578,31.183
-116.258,31.262
-116.638,30.901
-116.18,30.472
-115.396,30.34
-116.161,30.567
-116.639,30.319
-117.161,30.624
-116.334,30.48
-116.275,30.431
-116.206,30.351
-116.209,30.272
-115.849,29.258
-115.899,29.232
-114.287,28.488
-114.785,28.345
-114.732,28.227
-114.909,28.082
-115.4,28.387
-115.492,28.18
-115.441,28.251
-124.74,26.002
-115.449,28.267
-116.609,28.484
-115.479,28.231
-115.459,28.177
-115.334,28.332
-115.445,28.234
-115.333,27.671
-115.206,27.556
-114.884,26.904
-114.684,26.563
-114.685,26.545
-122.138,24.58
-113.849,25.796
-113.786,25.705
-113.672,25.399
-113.267,24.883
-113.436,24.722
-112.932,24.36
-112.895,24.33
-112.897,24.324
-112.782,24.081
-112.202,23.374
-112.066,23.044
-110.665,22.51
-111.78,22.392
-111.854,22.344
-111.374,22.056
-111.446,21.83
-111.402,21.754
-110.697,21.606
-110.281,21.42
-109.965,21.15
-109.84,20.95
-109.495,20.778
-109.308,20.75
-109.192,20.718
-108.677,20.188
-108.28,19.678
-106.362,20.173
-107.503,19.187
-106.824,18.717
-106.508,18.504
-106.03,18.133
-105.765,17.855
-105.958,17.876
-105.43,17.071
-105.323,16.995
-104.53,16.468
-104.723,16.07
-104.495,15.829
-102.843,13.891
-102.455,14.021
-102.237,14.241
-101.539,14.145
-100.918,13.989
-100.524,13.824
-100.193,13.51
-100.076,13.357
-99.225,11.09
-121.116,34.11
-120.714,34.118
-120.628,34.102
-120.587,34.192
-120.4,34.143
-120.474,34.309
-121.046,33.689
-121.012,33.653
-120.842,33.531
-120.919,31.731
-120.545,31.817
-120.877,32.142
-120.446,31.894
-119.611,31.518
-118.471,30.736
-116.523,28.412
-116.292,27.962
-114.313,25.523
-113.732,24.875
-112.619,24.426
-112.381,24.321
-112.359,24.072
-112.314,24.043
-111.752,23.597
-111.726,23.569
-111.381,23.263
-111.397,23.27
-111.848,22.092
-111.226,22.511
-111.222,22.463
-110.84,23.021
-110.253,21.71
-109.619,21.593
-108.573,20.743
-109.169,21.086
-109.391,20.77
-107.096,19.321
-107.105,19.393
-106.578,19.255
-104.277,17.177
-103.88,16.967
-120.61,34.102
-121.391,34.335
-120.622,34.088
-120.648,34.158
-120.699,33.767
-120.308,33.699
-118.63,33.133
-116.796,31.615
-116.824,31.526
-116.895,31.925
-117.02,32.089
-116.868,31.989
-116.883,31.836
-116.845,31.874
-116.778,31.754
-116.848,31.85
-116.822,31.332
-116.777,31.353
-116.745,31.37
-116.668,31.32
-117.409,31.396
-116.819,31.333
-116.894,31.66
-116.718,31.294
-116.718,31.304
-116.78,31.337
-116.823,31.332
-116.763,31.345
-116.7,31.335
-116.756,31.314
-116.82,31.417
-116.777,31.422
-116.774,31.42
-116.405,31.032
-116.345,30.728
-116.337,30.641
-116.146,30.447
-116.157,30.305
-116.079,30.326
-116.105,30.344
-116.025,30.042
-116.034,29.957
-115.933,29.493
-115.752,29.001
-115.52,27.889
-115.389,27.887
-115.087,27.978
-114.949,27.182
-114.456,26.804
-114.442,26.786
-114.461,26.78
-114.154,26.418
-114.195,26.428
-114.185,26.445
-113.847,25.88
-113.895,25.88
-113.846,25.698
-113.598,25.324
-113.528,24.873
-113.45,24.729
-112.975,24.036
-112.742,23.592
-112.744,23.575
-112.62,23.376
-112.547,23.333
-112.711,23.09
-111.525,21.692
-111.37,21.594
-110.891,21.515
-111.107,21.39
-111.083,21.39
-110.728,21.19
-110.643,21.118
-110.359,21.188
-110.043,21.11
-109.059,20.206
-108.702,19.566
-108.613,19.521
-108.369,19.252
-108.168,18.894
-108.164,18.9
-107.678,18.447
-107.676,18.458
-107.625,18.421
-107.397,18.255
-108.498,17.894
-106.459,17.271
-106.446,16.819
-106.052,17.102
-105.734,16.1
-105.533,15.887
-105.182,15.576
-103.88,14.008
-103.238,13.11
-103.237,13.1
-102.951,13.022
-102.733,12.858
-102.492,12.762
-101.989,12.405
-101.964,12.381
-101.707,12.36
-101.248,12.23
-101.261,12.23
-101.113,11.482
-101.273,11.137
-100.936,10.943
-100.789,10.438
-100.059,10.216
-99.204,10.169
-98.337,9.901
-98.409,10.08
-98.191,10.653
-97.783,10.629
-97.5,10.587
-95.433,10.577
-95.283,10.53
-94.051,10.41
-93.898,10.272
-93.806,10.918
-94.129,10.57
-94.167,10.551
-94.293,10.422
-94.102,10.405
-93.76,10.792
-94.106,10.096
-94.394,9.716
-94.41,9.73
-94.372,9.737
-94.33,9.394
-94.364,9.371
-95.258,9.136
-95.249,9.043
-95.585,8.862
-95.376,8.976
-95.473,8.925
