reclon,reclat
-124.429,41.956
-124.384,41.625
-124.391,41.913
-124.445,41.892
-124.391,41.934
-124.42,41.873
-124.635,41.964
-123.625,42.223
-124.442,41.924
-124.428,41.866
-124.576,41.951
-124.446,41.866
-124.486,41.956
-124.469,41.932
-124.369,41.922
-124.427,41.917
-124.414,41.92
-124.401,41.953
-122.891,41.053
-124.047,41.584
-124.372,41.761
-124.329,41.85
-124.396,41.849
-124.177,42.088
-124.938,41.767
-124.369,42.138
-124.463,40.479
-124.362,40.212
-124.345,40.23
-124.339,39.8
-124.225,39.789
-123.285,39.529
-123.499,38.755
-123.651,38.616
-122.681,37.675
-122.148,36.986
-121.933,36.608
-121.629,36.623
-121.596,36.753
-121.799,36.686
-121.967,36.524
-121.973,36.453
-121.83,36.125
-120.04,34.086
-120.24,33.748
-121.508,30.995
-118.585,31.173
-117.808,29.796
-117.266,28.469
-116.498,26.723
-115.547,25.449
-115.578,25.449
-115.471,25.524
-115.687,25.233
-115.531,25.38
-115.487,25.303
-114.086,24.272
-112.774,23.094
-112.575,23.108
-112.701,23.431
-113.009,23.281
-112.816,23.403
-112.873,23.475
-112.851,23.479
-112.873,23.427
-112.799,23.478
-112.825,23.498
-112.727,23.387
-112.768,23.637
-112.327,23.599
-112.352,23.57
-112.773,23.511
-113.327,23.736
-112.792,23.571
-113.077,24.046
-112.718,23.588
-112.678,23.594
-113.235,23.565
-112.713,23.78
-112.663,23.893
-112.764,23.945
-112.801,23.995
-112.784,23.974
-112.889,24.11
-112.808,24.098
-112.872,24.051
-113.417,24.158
-112.887,24.169
-112.824,24.193
-112.854,24.122
-112.778,24.148
-112.905,24.228
-113.415,24.705
-112.955,24.365
-113.078,24.478
-113.079,24.46
-113.12,24.56
-113.193,24.654
-113.204,24.558
-113.35,24.566
-113.231,24.577
-113.264,24.644
-113.302,24.711
-113.278,24.61
-113.359,24.864
-113.399,24.786
-113.666,24.696
-113.597,24.907
-113.523,24.87
-113.619,24.742
-113.56,24.601
-113.629,24.745
-113.234,24.696
-113.347,24.621
-112.96,24.459
-112.93,24.458
-113.495,24.338
-113.153,24.546
-113.238,24.495
-113.208,24.514
-113.719,24.576
-113.158,24.496
-113.253,24.473
-113.214,24.433
-112.283,24.773
-112.89,24.538
-113.151,24.489
-113.073,24.404
-112.963,23.766
-112.519,23.359
-112.835,23.525
-112.51,23.539
-112.796,23.327
-112.38,23.321
-112.003,23.005
-111.798,23.023
-111.774,23.009
-111.677,23.084
-111.517,22.936
-112.277,25.533
-113.582,25.897
-114.355,26.996
-114.797,27.259
-115.032,27.586
-115.256,27.838
-115.51,28.302
-116.329,29.217
-115.871,29.208
-115.965,29.692
-117.129,30.261
-117.159,31.374
-117.223,31.175
-117.338,31.439
-117.482,32.205
-116.205,31.565
-117.975,32.46
-119.42,33.944
-120.091,33.871
-120.635,33.723
-120.728,33.56
-120.697,33.451
-121.78,32.707
-120.45,32.398
-122.358,31.741
-123.621,31.703
-123.781,32.214
-123.99,32.4
-124.657,33.329
-124.643,33.596
-124.655,33.649
-124.7,33.722
-125.554,34.833
-125.449,35.965
-124.76,36.376
-125.311,35.438
-122.475,37.129
-122.516,37.133
-122.456,37.183
-122.452,37.198
-122.569,37.285
-122.458,37.274
-122.795,37.445
-123.716,37.244
-123.206,37.546
-122.645,37.801
-123.231,37.589
-123.009,37.484
-123.647,37.449
-123.287,37.437
-122.869,37.352
-122.835,37.249
-122.58,36.981
-123.262,36.676
-122.698,37.208
-122.72,37.158
-121.704,37.675
-122.69,37.239
-123.166,36.962
-122.631,37.201
-122.782,37.319
-122.819,37.332
-122.724,37.088
-122.722,36.872
-122.266,37.295
-116.956,37.371
-122.339,36.992
-122.644,37.053
-122.715,36.995
-123.121,37.397
-122.707,37.46
-122.831,37.387
-122.819,37.362
-123.245,37.835
-123.383,37.89
-123.215,38.22
-123.332,38.5
-122.453,37.521
-122.959,37.372
-122.805,37.401
-123.383,37.242
-122.698,37.118
-122.522,37.067
-122.726,36.994
-122.752,37.23
-122.342,37.489
-123.024,37.162
-122.558,37.028
-122.541,36.818
-122.47,36.766
-122.585,36.679
-122.265,36.745
-122.12,36.467
-122.136,36.479
-122.093,36.32
-122.055,36.194
-122.109,36.085
-122.172,36.116
-121.798,35.998
-121.542,35.886
-121.553,35.86
-121.382,35.634
-121.282,35.648
-121.021,35.301
-121.055,35.276
-120.953,34.655
-121.062,35.186
-121.049,35.058
-121.086,34.973
-120.953,35.116
-120.925,35.018
-121.215,35.077
-120.964,35.029
-121.066,34.986
-121.037,34.998
-121.039,35.005
-121.235,35.003
-121.141,34.995
-120.782,34.676
-120.81,34.646
-120.858,34.446
-120.812,34.04
-120.726,34.249
-121.356,34.194
-120.713,34.244
-120.615,34.407
-120.859,34.597
-120.706,34.416
-120.928,34.884
-120.991,34.908
-120.921,34.632
-119.906,34.71
-121.287,35.359
-121.361,35.49
-121.759,35.895
-121.775,35.882
-121.957,35.949
-122.021,35.765
-122.213,35.746
-122.294,35.674
-122.194,35.823
-122.339,35.842
-122.114,35.957
-122.974,35.677
-122.289,35.819
-122.627,35.852
-122.561,36.021
-122.059,35.928
-122.412,36.108
-122.188,36.111
-122.188,36.072
-121.375,35.506
-121.705,35.117
-119.036,34.617
-120.559,34.12
-119.193,33.215
-119.212,33.269
-120.621,34.634
-119.173,33.122
-119.334,33.27
-118.927,34.036
-118.132,34.838
-120.009,33.103
-120.997,34.127
-119.545,33.315
-119.063,33.119
-120.24,34.203
-120.45,33.4
-119.408,33.239
-119.144,33.062
-118.988,33.088
-119.06,32.613
-118.751,33.174
-118.908,32.837
-118.917,32.966
-120.338,35.584
-118.976,32.758
-118.962,32.653
-118.835,33.007
-118.082,33.447
-122.035,33.212
-118.328,32.855
-121.848,33.503
-118.7,32.986
-119.72,33.29
-121.082,33.664
-118.659,34.16
-118.464,33.532
-118.897,32.342
-118.306,32.943
-119.665,33.499
-119.246,33.197
-118.847,33.072
-119.407,32.208
-118.595,31.926
-119.464,32.951
-116.785,32.353
-128.308,32.336
-118.822,32.688
-118.554,32.677
-118.728,32.721
-118.782,32.883
-118.524,32.312
-117.509,31.601
-118.761,33.27
-118.666,32.8
-118.978,32.758
-119.011,32.102
-119.519,33.718
-117.806,32.975
-117.917,32.824
-118.596,32.903
-118.751,32.941
-117.398,33.413
-117.193,32.347
-118.986,32.855
-118.987,33.097
-119.057,33.262
-118.99,32.624
-118.461,29.389
-119.427,33.438
-119.28,33.165
-118.717,32.723
-119.958,33.105
-118.674,33.66
-119.492,33.008
-123.103,37.669
-123.582,37.983
-116.777,33.87
-119.145,33.19
-120.095,33.05
-120.888,32.7
-119.378,33.099
-119.684,33.604
-117.324,32.72
-120.432,33.221
-116.779,29.808
-119.558,33.204
-119.974,32.823
-119.654,33.179
-119.215,33.241
-120.419,33.99
-121.086,32.638
-120.149,33.101
-118.501,33.269
-119.551,33.196
-119.546,33.108
