reclon,reclat
-95.038,7.642
-96.507,8.141
-96.717,10.322
-97.493,11.213
-97.76,11.731
-97.998,12.256
-98.732,12.774
-99.735,13.512
-102.795,15.744
-109.702,22.2
-111.816,23.75
-116.154,29.024
-121.064,34.298
-120.861,34.338
-122.852,37.72
-123.333,37.151
-122.917,37.782
-122.857,37.707
-123.001,36.718
-121.733,37.094
-123.908,36.384
-118.708,36.331
-122.531,37.341
-113.873,39.326
-123.669,38.709
-123.32,38.56
-123.649,38.654
-123.783,38.517
-124.036,39.016
-123.344,38.224
-123.058,37.973
-123.126,38.132
-123.604,38.605
-123.778,38.274
-123.692,38.558
-123.53,38.441
-123.393,38.559
-123.484,38.378
-123.583,38.668
-123.167,38.04
-123.278,38.142
-123.104,38.169
-123.291,38.068
-123.66,37.787
-122.992,37.691
-123.06,37.749
-123.47,37.723
-124.962,38.112
-123.768,37.635
-123.133,37.666
-122.993,37.614
-123.163,37.555
-122.841,37.579
-123.084,37.523
-122.968,37.556
-123.67,37.553
-123.525,38.03
-123.889,38.265
-122.675,37.076
-122.745,37.2
-122.399,36.991
-122.771,37.14
-123.867,36.567
-124.082,36.766
-119.158,31.923
-118.092,30.851
-115.061,27.283
-110.653,27.983
-110.083,22.942
-112.535,21.545
-113.434,19.988
-100.526,9.833
-112.913,24.674
-112.754,24.594
-111.999,24.664
-111.959,23.411
-111.846,23.623
-111.865,23.598
-111.862,23.625
-111.673,23.57
-111.671,23.275
-112.094,23.362
-110.952,20.759
-109.018,18.408
-108.225,17.302
-107.801,17.026
-107.734,16.9
-107.431,16.672
-105.613,15.012
-104.013,14.461
-102.343,13.395
-101.24,12.613
-99.95,10.32
-100.019,10.087
-99.933,9.71
-99.868,9.355
-100.146,9.508
-100.52,9.036
-99.936,8.917
-99.441,8.901
-99.622,8.849
-99.921,8.827
-99.597,8.699
-98.101,8.93
-97.309,8.646
-97.653,8.621
-97.46,8.622
-97.258,9.704
-95.254,9.603
-95.418,10.236
-95.946,9.999
-96.082,9.291
-96.311,9.242
-96.271,9.301
-96.191,9.269
-96.378,9.066
-97.15,8.615
-97.076,8.496
-97.026,8.568
-97.294,8.653
-97.36,8.581
-97.944,8.681
-97.461,8.586
-98.782,8.524
-98.139,8.403
-98.08,8.15
-97.588,8.361
-97.425,8.193
-98.108,7.888
-98.033,7.568
-97.661,8.424
-98.038,8.789
-97.916,8.771
-98.51,8.279
-98.645,8.274
-99.572,8.386
-99.594,8.368
-99.45,8.589
-100.529,8.62
-100.706,8.716
-100.753,8.967
-102.206,7.751
-101.094,8.901
-101.207,8.918
-100.926,9.06
-101.396,8.989
-101.542,9.237
-101.463,9.065
-101.646,9.161
-101.778,9.065
-101.693,9.043
-101.613,9.321
-101.715,9.192
-101.63,9.166
-101.389,9.375
-101.572,9.295
-101.574,9.37
-101.705,9.467
-101.616,9.486
-101.599,9.411
-101.766,9.332
-101.92,9.672
-101.951,9.395
-101.973,9.421
-102.046,9.371
-102.035,9.446
-102.318,9.327
-102.688,8.784
-101.836,9.173
-101.786,9.185
-101.789,9.299
-101.769,9.227
-101.583,9.359
-102.065,9.201
-101.998,9.246
-101.885,9.277
-101.862,9.268
-102.354,8.759
-102.042,9.237
-101.724,9.086
-101.855,9.191
-101.989,9.092
-102.14,8.894
-102.201,8.876
-101.96,8.629
-102.061,8.699
-102.066,8.533
-101.802,8.698
-102.048,8.721
-101.898,8.433
-102.114,8.458
-101.909,8.344
-102.047,8.369
-102.006,8.376
-101.743,8.05
-102.13,8.228
-102.412,8.017
-102.138,8.066
-102.209,8.221
-102.185,8.086
-102.43,8.037
-102.349,7.977
-102.572,7.895
-102.583,7.886
-102.926,7.85
-102.653,7.751
-103.128,7.972
-102.842,8.261
-103.221,7.895
