reclon,reclat
-119.94,34.29
-120.16,34.221
-120.394,34.279
-120.934,34.263
-121.007,34.179
-120.51,34.169
-120.55,33.94
-120.354,33.836
-120.222,33.64
-120.365,33.924
-120.677,34.111
-120.767,34.064
-120.834,34.146
-120.566,34.141
-120.574,34.002
-120.542,34.023
-120.831,33.99
-120.684,34.039
-120.653,33.527
-120.493,33.503
-119.995,33.415
-119.17,32.996
-119.436,33.052
-119.36,33.093
-119.304,33.139
-121.54,32.501
-119.222,33.105
-120.96,33.794
-118.033,33.289
-119.412,32.956
-119.59,33.177
-119.803,33.222
-119.44,33.19
-122.056,33.2
-119.111,33.146
-119.099,33.162
-119.287,32.946
-119.107,32.807
-120.237,34.207
-120.21,34.103
-120.449,34.146
-120.307,34.204
-120.453,34.228
-119.719,33.799
-120.336,34.223
-120.396,34.287
-120.294,34.127
-120.295,34.156
-120.2,34.115
-120.175,34.134
-120.187,34.132
-119.986,34.12
-119.882,34.18
-119.922,34.098
-120.478,34.083
-120.305,34.008
-120.314,34.156
-120.396,34.186
-120.319,34.153
-120.271,34.141
-120.271,34.146
-120.296,34.164
-120.304,34.09
-119.915,33.961
-120.328,34.142
-120.264,34.107
-120.566,34.383
-120.554,34.284
-120.503,34.242
-120.533,34.274
-120.348,34.254
-119.914,34.136
-120.114,34.145
-120.157,34.141
-120.297,34.318
-120.407,34.126
-120.773,34.212
-120.169,34.096
-119.925,34.117
-119.474,34.537
-120.547,33.501
-120.94,32.401
-120.079,34.142
-120.274,34.419
-119.665,34.208
-120.272,34.257
-121.255,33.535
-121.285,33.026
-120.638,32.506
-122.882,32.015
-120.163,32.657
-120.39,32.997
-119.972,33.03
-120.096,33.482
-119.844,34.154
-121.054,34.319
-120.504,34.351
-120.586,33.821
-125.818,32.172
-119.539,33.361
-122.017,33.025
-119.985,33.327
-119.588,33.444
-119.634,33.458
-150.886,25.015
-120.218,33.59
-119.375,33.482
-119.521,33.309
-106.327,31.049
-118.7,31.538
-113.633,32.495
-119.817,33.434
-119.478,33.531
-118.627,33.099
-119.04,33.711
-117.476,34.752
-120.211,33.128
-118.896,33.183
-119.521,33.399
-121.19,33.428
-98.563,25.684
-122.262,32.14
-120.612,29.616
-121.159,33.166
-120.6,33.025
-123.275,34.7
-119.538,32.523
-119.369,32.826
-127.122,27.359
-121.787,32.738
-121.072,31.902
-120.014,31.971
-119.313,32.188
-117.236,33.305
-117.896,33.739
-122.093,33.361
-117.473,33.738
-120.199,34.124
-120.096,34.425
-120.063,34.349
-120.168,34.169
-120.746,33.678
-119.706,33.282
-113.41,35.437
-121.985,34.242
-120.452,34.023
-120.44,33.863
-122.091,35.397
-115.474,35.72
-120.943,33.91
-124.916,32.602
-122.231,34.6
-122.469,34.259
-123.318,34.706
-123.548,34.186
-123.106,34.6
-123.431,34.722
-123.199,34.796
-122.837,34.691
-123.049,34.923
-115.433,34.539
-123.253,35.048
-122.671,34.831
-122.118,34.936
-122.423,34.942
-122.091,34.791
-123.617,35.648
-122.274,33.874
-121.685,33.758
-120.906,34.133
-122.926,32.883
-120.267,33.534
-119.829,33.273
-119.268,33.263
-119.275,33.032
-119.383,32.98
-119.204,32.77
-119.045,32.719
-119.098,32.619
-118.452,32.07
-118.124,31.954
-118.064,31.759
-117.845,31.729
-117.628,31.519
-117.372,31.514
-117.396,31.55
-115.228,28.885
-115.675,31.401
-116.625,30.704
-116.689,30.326
-116.796,29.687
-116.739,29.495
-119.001,29.266
-118.104,29.116
-116.038,27.224
-115.941,26.949
-115.137,26.694
-115.149,26.437
-120.374,33.826
-120.278,33.788
-120.387,34.034
-119.972,33.992
-120.195,34.061
-125.7,32.428
-119.373,32.966
-119.226,33.124
-118.699,32.858
-118.243,32.397
-119.148,32.982
-118.117,32.146
-117.928,31.972
-117.947,31.96
-117.903,32.096
-117.931,32.376
-118.004,32.496
-118.479,32.653
-117.7,32.855
-117.889,32.77
-117.977,32.682
-117.686,32.693
-119.068,32.359
-117.344,32.435
-119.413,32.201
-117.261,32.151
-117.163,32.481
-116.511,31.361
-117.434,30.619
-116.348,31.113
-115.825,29.022
-116.207,28.756
-115.694,28.505
-115.474,28.544
-115.302,28.336
-115.294,27.577
-115.252,27.566
-114.623,27.266
-114.298,26.731
-114.059,26.541
-114,26.228
-115.03,25.47
-113.437,24.923
-113.087,24.725
-113.17,24.626
-112.157,24.449
-112.274,24.203
-111.141,23.455
-109.794,22.192
-109.83,21.907
-110.793,20.593
-108.601,21.183
-108.667,19.704
-120.417,34
-120.456,33.844
-120.514,34.061
-120.463,33.842
-120.364,34.027
-120.905,34.668
-121.06,33.993
-120.577,34.271
-120.715,34.535
-121.051,33.29
-119.759,33.858
-120.609,34.019
-120.067,34.1
-124.24,35.327
-120.661,33.809
-120.241,33.935
-118.564,33.407
-119.924,33.844
-120.055,34.147
-120.255,35.149
-119.808,33.964
-119.882,33.286
-120.464,34.652
-120.194,34.247
-120.393,34.344
-120.992,34.265
-120.685,34.487
-120.886,34.031
-121.661,33.926
-120.503,33.976
-120.507,33.966
-120.191,33.251
-120.258,33.716
-120.173,33.968
-119.798,33.638
-121.172,34.89
-119.644,33.331
-134.998,28.954
-119.888,33.432
-119.685,33.349
-119.705,33.42
-119.906,33.478
-119.713,33.49
-120.017,33.356
-119.71,33.363
-122.726,31.843
-119.403,33.131
-119.937,33.114
-119.623,33.039
-119.444,33.583
-118.912,32.863
-118.033,32.682
-118.888,32.465
-118.736,32.44
-118.215,32.2
-117.857,32.329
-117.604,32.092
-116.229,32.303
-116.934,32.158
-117.55,32.958
-117.491,32.515
-117.521,32.911
-117.741,33.251
-117.758,33.09
-117.185,33.824
-119.035,33.86
-119.127,33.937
-117.855,33.871
-119.78,34.416
-117.473,32.748
-118.596,33.812
-120.933,34.127
-121.406,33.914
-120.173,32.625
-165.662,23.8
-119.121,33.284
-119.521,33.614
-118.597,31.867
-121.113,32.905
-116.072,32.596
-118.232,32.176
-117.737,31.599
-116.64,31.44
-116.888,31.023
-116.5,30.697
-116.103,30.501
-116.238,30.645
-116.963,30.579
-115.965,30.132
-117.669,29.546
-115.744,29.363
-115.473,29.308
-114.999,28.85
-114.578,28.175
-113.449,27.86
-115.356,27.611
-115.056,27.94
-115.288,27.714
-115.512,27.365
-114.882,26.697
-114.491,26.375
-113.768,26.034
-113.247,25.88
-112.329,24.918
-112.268,24.705
-112.275,24.279
-112.015,23.977
-111.896,23.941
-111.835,23.893
-112.007,23.801
-112.662,24.262
-112.013,23.887
-112.48,23.652
-112.093,23.676
-111.799,23.648
-111.345,23.619
-111.781,23.643
-111.141,23.66
-111.696,23.633
-111.484,23.518
-111.741,23.559
-112.243,23.498
-112.549,23.742
-111.548,23.509
-110.762,23.395
-111.992,23.112
-109.372,23.772
-110.797,23.577
-111.132,23.319
-111.216,23.243
-111.263,23.23
-110.832,22.886
-111.472,23.364
-111.232,23.493
-111.171,23.267
-111.732,23.13
-111.601,21.966
-111.641,21.28
-111.767,21.079
-111.209,20.443
-112.069,20.602
-111.476,20.396
-103.291,22.296
-110.388,19.458
-110.323,19.651
-110.237,19.488
-110.019,19.325
-109.879,19.174
-109.378,18.186
-109.544,18.315
-107.788,16.653
-107.224,16.949
-106.955,17.039
-106.65,16.938
-105.686,16.663
-106.182,16.56
-105.025,15.978
-103.006,15.543
-105.509,15.922
-103.2,15.178
-102.971,14.338
-101.708,14.191
-98.815,13.258
-96.245,11.306
-100.121,11.403
-99.62,10.839
-98.271,9.662
-120.413,34.528
-120.242,34.112
-120.176,34.16
-120.036,34.234
-120.145,34.287
-119.741,34.213
-120.133,34.209
-120.368,34.126
-119.314,34.071
-120.156,34.321
-120.151,34.022
-119.704,34.257
-120.204,34.108
-120.263,34.021
-120.835,33.746
-120.926,33.977
-120.279,34.039
-119.821,34.163
-120.47,34.148
-120.471,34.273
-120.601,34.242
-120.454,34.153
-120.682,34.099
-120.613,34.247
-120.639,34.239
-121.07,33.928
-121.178,33.855
-120.904,33.803
-121.275,33.756
-121.26,33.558
-120.901,33.373
-120.983,33.275
-121.076,33.007
-120.918,32.922
-121.015,32.893
-120.93,32.751
-121.375,32.472
-120.707,32.588
-119.401,31.311
-120.982,32.328
-120.901,32.39
-120.946,32.326
-121.02,32.374
-120.957,32.307
-120.86,32.252
-120.957,32.402
-121.377,32.706
-120.825,32.287
-120.905,32.283
-121.314,32.145
-120.952,32.217
-121.197,32.231
-120.833,32.285
-120.916,32.416
-120.977,32.28
-120.702,32.441
-119.444,32.924
-119.482,33.469
-117.047,33.694
-130.214,37.857
-119.655,32.213
-123.398,32.444
-119.425,32.945
-121.343,32.337
-119.909,33.854
-118.836,33.105
-117.263,32.679
-121.226,33.272
-119.22,33.494
-121.897,30.9
-119.604,33.6
-120.634,34.337
-124.327,47.913
-118.542,34.493
-123.481,31.423
-120.425,33.807
-119.397,33.686
-119.553,33.392
-79.078,23.292
-119.521,33.156
-119.606,33.03
-119.096,33.426
-120.78,34.547
-121.585,35.465
-122.588,36.789
-119.253,36.771
-106.947,35.694
-124.601,39.868
-124.2,39.683
-123.932,39.82
-125.421,39.441
-123.957,39.364
-123.787,39.083
-124.671,38.675
-124.999,34.418
-92.309,35.219
