reclon,reclat
-122.187,36.977
-122.263,37.033
-122.116,37.016
-122.143,36.999
-123.123,37.739
-123.319,37.943
-123.518,38.326
-123.445,38.462
-123.784,38.782
-124.04,39.591
-123.975,39.837
-124.56,40.411
-124.493,40.574
-124.575,40.475
-124.576,40.576
-124.557,40.503
-124.018,40.667
-123.752,40.629
-124.566,40.482
-124.638,40.517
-124.476,40.677
-124.497,40.666
-124.382,40.607
-124.462,40.591
-124.399,40.88
-124.381,40.856
-124.165,41.395
-124.174,41.431
-124.073,41.671
-124.615,41.821
-124.307,41.81
-124.586,41.995
-124.531,42.013
-124.556,42.01
-124.493,42.042
-124.505,42.059
-124.581,42.819
-124.605,42.935
-124.458,43.038
-124.522,43.083
-124.22,42.942
-124.856,42.951
-124.394,42.618
-124.426,42.332
-124.507,42.387
-124.215,41.66
-124.399,41.769
-124.244,41.152
-124.444,40.534
-124.524,40.275
-124.194,40.015
-124.3,39.894
-123.908,39.452
-123.947,39.243
-123.926,39.247
-123.906,39.237
-124.19,38.971
-123.944,39.108
-123.933,38.954
-123.887,39.167
-123.731,39.016
-123.888,39.083
-123.893,39.216
-123.863,39.876
-124.138,39.912
-124.152,39.899
-124.438,40.154
-124.408,40.285
-124.796,40.455
-124.512,40.567
-124.487,40.568
-124.564,40.595
-124.58,40.525
-124.649,40.562
-124.625,40.564
-124.668,40.531
-124.621,40.567
-124.974,40.528
-124.645,40.501
-124.482,40.641
-124.556,40.627
-124.405,40.701
-124.56,40.624
-124.461,40.598
-124.481,40.618
-124.477,40.623
-124.469,40.623
-124.624,40.554
-124.271,40.446
-124.149,40.255
-124.836,40.828
-124.496,40.675
-124.503,40.675
-124.459,40.753
-124.445,40.659
-124.514,40.784
-124.488,40.702
-124.492,40.592
-124.472,40.583
-124.56,40.695
-124.5,40.734
-124.493,40.688
-124.456,40.678
-124.418,40.755
-124.531,40.662
-124.461,40.75
-124.431,40.798
-124.379,40.627
-124.423,40.822
-124.507,40.787
-124.419,40.811
-124.423,40.802
-124.494,40.759
-124.275,41.002
-124.236,41.04
-124.434,41.069
-124.43,40.92
-124.374,40.929
-124.292,41.002
-124.327,40.909
-124.414,40.873
-124.263,41.013
-124.265,41.067
